feature,prop_out_ri_over_subgroup#Cont,prop_out_ri_over_subgroup#AD,prop_out_ri_over_subgroup#Dep,prop_out_ri_over_subgroup#AD+Dep
Pic#silence_speech_ratio,0.416,0.607,0.333,0.556
Pic#1st_pronouns_ratio,0.429,0.417,0.0,0.378
Pic#variability_coher_14tokens,0.182,0.265,0.0,0.122
Pic#content_density,0.078,0.226,0.0,0.156
Pic#F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,0.065,0.226,0.0,0.156
Pic#silence_rate (silencetime/dur),0.039,0.179,0.0,0.156
Pic#variability_coher_sentence,0.108,0.15,0.0,0.136
Pic#localabsoluteJitter,0.039,0.143,0.0,0.133
Pic#F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.013,0.143,0.0,0.022
Pic#mean_pause_dur,0.026,0.119,0.0,0.178
Pic#ref_chain_ratio,0.039,0.107,0.0,0.178
Pic#shimmerLocaldB_sma3nz_amean,0.039,0.107,0.0,0.111
Pic#MeanVoicedSegmentLengthSec,0.065,0.107,0.0,0.089
Pic#f4_median,0.052,0.107,0.0,0.133
Pic#F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.091,0.107,0.0,0.156
Pic#F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.065,0.095,0.0,0.133
Pic#F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,0.026,0.095,0.0,0.044
Pic#f4_mean,0.065,0.095,0.0,0.089
Pic#mean_coher_14tokens,0.013,0.084,0.0,0.098
Pic#idea_density,0.065,0.083,0.0,0.111
Pic#jitterLocal_sma3nz_amean,0.026,0.083,0.0,0.067
Pic#F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.078,0.071,0.0,0.156
Pic#F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.052,0.071,0.333,0.044
Pic#F3bandwidth_sma3nz_amean,0.078,0.071,0.0,0.067
Pic#type_token_ratio,0.039,0.071,0.0,0.067
Pic#apq3Shimmer,0.039,0.071,0.0,0.067
Pic#repeat_ratio,0.026,0.071,0.0,0.044
Pic#StddevVoicedSegmentLengthSec,0.026,0.071,0.0,0.133
Pic#ddaShimmer,0.039,0.071,0.0,0.067
Pic#f2_mean,0.052,0.06,0.0,0.089
Pic#ppq5Jitter,0.039,0.06,0.0,0.044
Pic#ddpJitter,0.039,0.06,0.0,0.022
Pic#polarity,0.0,0.06,0.0,0.089
Pic#f3_mean,0.052,0.06,0.0,0.067
Pic#mean_sil_count,0.026,0.06,0.0,0.044
Pic#f2_median,0.078,0.06,0.0,0.111
Pic#honore_statistic,0.078,0.06,0.0,0.111
Pic#articulation rate(nsyll / phonationtime),0.013,0.06,0.0,0.044
Pic#rapJitter,0.039,0.06,0.0,0.022
Pic#localJitter,0.039,0.06,0.0,0.044
Pic#HNRdBACF_sma3nz_amean,0.078,0.06,0.0,0.022
Pic#F2bandwidth_sma3nz_amean,0.039,0.06,0.0,0.0
Pic#hnr,0.026,0.06,0.0,0.022
Pic#mean_coher_sentence,0.041,0.05,0.0,0.045
Pic#speechrate(nsyll / dur),0.052,0.048,0.0,0.089
Pic#localShimmer,0.026,0.048,0.0,0.022
Pic#localdbShimmer,0.026,0.048,0.0,0.0
Pic#jitterLocal_sma3nz_stddevNorm,0.026,0.048,0.0,0.044
Pic#shimmerLocaldB_sma3nz_stddevNorm,0.039,0.048,0.0,0.0
Pic#brunet_index,0.026,0.048,0.0,0.089
Pic#F2frequency_sma3nz_amean,0.052,0.048,0.333,0.067
Pic#VoicedSegmentsPerSec,0.065,0.048,0.0,0.044
Pic#f3_median,0.091,0.048,0.0,0.089
Pic#F3bandwidth_sma3nz_stddevNorm,0.052,0.048,0.0,0.0
Pic#F1frequency_sma3nz_stddevNorm,0.078,0.036,0.0,0.0
Pic#ASD(speakingtime / nsyll),0.013,0.036,0.0,0.022
Pic#apq11Shimmer,0.052,0.036,0.0,0.022
Pic#F1frequency_sma3nz_amean,0.065,0.024,0.333,0.067
Pic#mean_speech_dur,0.026,0.024,0.0,0.0
Pic#F2bandwidth_sma3nz_stddevNorm,0.065,0.024,0.0,0.044
Pic#aqpq5Shimmer,0.039,0.024,0.0,0.0
Pic#F1bandwidth_sma3nz_stddevNorm,0.013,0.024,0.0,0.067
Pic#F1bandwidth_sma3nz_amean,0.039,0.024,0.0,0.022
Pic#meanF0,0.039,0.024,0.0,0.044
Pic#F3frequency_sma3nz_stddevNorm,0.039,0.012,0.0,0.044
Pic#F0semitoneFrom27.5Hz_sma3nz_percentile80.0,0.078,0.012,0.0,0.089
Pic#stdevF0,0.039,0.012,0.0,0.0
Pic#StddevUnvoicedSegmentLength,0.026,0.012,0.0,0.022
Pic#f1_mean,0.052,0.012,0.0,0.044
Pic#F2frequency_sma3nz_stddevNorm,0.013,0.012,0.0,0.0
Pic#f1_median,0.026,0.012,0.0,0.044
Pic#F0semitoneFrom27.5Hz_sma3nz_amean,0.078,0.012,0.0,0.111
Pic#loudnessPeaksPerSec,0.039,0.0,0.0,0.022
Pic#MeanUnvoicedSegmentLength,0.026,0.0,0.0,0.0
Pic#HNRdBACF_sma3nz_stddevNorm,0.013,0.0,0.0,0.022
Pic#F3frequency_sma3nz_amean,0.039,0.0,0.0,0.067
