feature,prop_out_ri_over_subgroup#Cont,prop_out_ri_over_subgroup#PD
A#minF0,0.228,0.515
A#hnr,0.035,0.412
A#rapJitter,0.228,0.412
A#ddpJitter,0.228,0.412
A#localJitter,0.228,0.397
A#localdbShimmer,0.035,0.397
A#localShimmer,0.018,0.368
A#apq3Shimmer,0.018,0.338
A#ddaShimmer,0.018,0.338
A#apq11Shimmer,0.018,0.338
A#aqpq5Shimmer,0.0,0.338
A#shimmerLocaldB_sma3nz_amean,0.027,0.307
A#stdevF0,0.053,0.191
A#maxF0,0.088,0.176
A#meanF0,0.07,0.147
A#jitterLocal_sma3nz_stddevNorm,0.04,0.147
A#F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,0.013,0.133
A#f3_mean,0.018,0.132
A#f3_median,0.053,0.132
A#F3bandwidth_sma3nz_stddevNorm,0.053,0.107
A#F0semitoneFrom27.5Hz_sma3nz_amean,0.093,0.107
A#F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.067,0.107
A#jitterLocal_sma3nz_amean,0.027,0.107
A#f2_median,0.035,0.074
A#F0semitoneFrom27.5Hz_sma3nz_stddevNorm,0.04,0.067
A#F2frequency_sma3nz_amean,0.04,0.067
A#f4_median,0.053,0.059
A#F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,0.027,0.053
A#f2_mean,0.035,0.044
A#F1frequency_sma3nz_stddevNorm,0.04,0.04
A#F3frequency_sma3nz_amean,0.04,0.04
A#F1frequency_sma3nz_amean,0.04,0.04
A#F2bandwidth_sma3nz_amean,0.067,0.027
A#F1bandwidth_sma3nz_amean,0.053,0.027
A#F2bandwidth_sma3nz_stddevNorm,0.04,0.027
A#F3frequency_sma3nz_stddevNorm,0.013,0.027
A#F2frequency_sma3nz_stddevNorm,0.04,0.013
A#F1bandwidth_sma3nz_stddevNorm,0.027,0.013
A#F3bandwidth_sma3nz_amean,0.053,0.013
A#shimmerLocaldB_sma3nz_stddevNorm,0.04,0.013
A#f1_mean,0.07,0.0
A#f4_mean,0.018,0.0
A#f1_median,0.07,0.0
